epoch,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
92,0.006461027543991804,0.006211781874299049,0.006211781874299049,3.8622224565187935e-06,2.885662297558156e-06,9.765597042132868e-07,0.0002453834458719939,8.139124361150607e-07,1.6399227433794294e-06,0.0126667944714427,,0.27131617069244385,4277
,,,,,,,,,,,0.0005,,4278
93,0.006347968243062496,0.006100417114794254,0.006100417114794254,4.25306780016399e-06,3.053524096685578e-06,1.1995442719126004e-06,0.00024329833104275167,8.427380180364707e-07,1.5902461427685921e-06,0.012540418654680252,,0.27117323875427246,4323
,,,,,,,,,,,0.0005,,4324
94,0.006275233346968889,0.006031071301549673,0.006031071301549673,4.024372628919082e-06,3.0394564873859053e-06,9.849165962805273e-07,0.00024013788788579404,8.623359804005304e-07,1.5390430689876666e-06,0.012415114790201187,,0.27209654450416565,4369
,,,,,,,,,,,0.0005,,4370
95,0.006154307629913092,0.005869927350431681,0.005869927350431681,4.262476522853831e-06,3.175685378664639e-06,1.086789893633977e-06,0.0002801170339807868,9.720613434183178e-07,1.8291087826582952e-06,0.012289898470044136,,0.27373918890953064,4415
,,,,,,,,,,,0.0005,,4416
96,0.006107236724346876,0.005799478385597467,0.005799478385597467,4.672045179177076e-06,3.294574980827747e-06,1.3774703120361664e-06,0.000303086795611307,1.021830712488736e-06,2.0090374164283276e-06,0.01216624490916729,,0.2749442458152771,4461
,,,,,,,,,,,0.0005,,4462
97,0.005987322423607111,0.005681018810719252,0.005681018810719252,4.848040589422453e-06,3.3522103422001237e-06,1.4958301335354918e-06,0.0003014548565261066,1.0122037110704696e-06,2.002344672291656e-06,0.012042666785418987,,0.276606023311615,4507
,,,,,,,,,,,0.0005,,4508
98,0.005895917769521475,0.005574524402618408,0.005574524402618408,5.157990017323755e-06,3.4319391488679685e-06,1.7260500726479222e-06,0.00031623587710782886,1.0213607311015949e-06,2.1409978216979653e-06,0.011919732205569744,,0.27787837386131287,4553
,,,,,,,,,,,0.0005,,4554
99,0.005782694090157747,0.005458920728415251,0.005458920728415251,5.367393441702006e-06,3.4919078188977437e-06,1.8754848269963986e-06,0.000318406819133088,1.032116188071086e-06,2.1519522306334693e-06,0.011796991340816021,,0.2792411744594574,4599
,,,,,,,,,,,0.0005,,4600
100,0.005689194425940514,0.0053328825160861015,0.0053328825160861015,6.242282324819826e-06,3.574632273739553e-06,2.667650733201299e-06,0.00035006855614483356,1.0644318990671309e-06,2.4362529984500725e-06,0.011674835346639156,,0.2810940444469452,4645
,,,,,,,,,,,0.0005,,4646
